run_number,dataset_id,dataset,file_id,file_size,creation_date,last_modification_date,logical_file_name,status,err_trace
384069,15042470,/ZeroBias/Run2024G-PromptReco-v1/DQMIO,17237452597,359910285,2024-08-09 22:42:38+00:00,2024-08-09 22:42:38+00:00,/store/data/Run2024G/ZeroBias/DQMIO/PromptReco-v1/000/384/069/00000/C4B6C2A9-73CD-46A9-8C27-7CE95FAF936A.root,FINISHED,
382913,14986300,/ZeroBias/Run2024F-PromptReco-v1/DQMIO,16820640317,393908432,2024-07-12 15:57:52+00:00,2024-07-12 15:57:52+00:00,/store/data/Run2024F/ZeroBias/DQMIO/PromptReco-v1/000/382/913/00000/0E698587-ED75-4B93-8F25-E60A8E1CE36D.root,FINISHED,
382913,14986300,/ZeroBias/Run2024F-PromptReco-v1/DQMIO,16820641317,357445680,2024-07-12 15:57:52+00:00,2024-07-12 15:57:52+00:00,/store/data/Run2024F/ZeroBias/DQMIO/PromptReco-v1/000/382/913/00000/B33E6210-EC58-4BD0-A884-E87C57CE3EE0.root,FINISHED,
382913,14986300,/ZeroBias/Run2024F-PromptReco-v1/DQMIO,16820641037,347323193,2024-07-12 15:57:52+00:00,2024-07-12 15:57:52+00:00,/store/data/Run2024F/ZeroBias/DQMIO/PromptReco-v1/000/382/913/00000/615E0B38-49C6-40DD-8AC9-6AA3DFE910BE.root,FINISHED,
382913,14986300,/ZeroBias/Run2024F-PromptReco-v1/DQMIO,16820640557,625401050,2024-07-12 15:57:52+00:00,2024-07-12 15:57:52+00:00,/store/data/Run2024F/ZeroBias/DQMIO/PromptReco-v1/000/382/913/00000/92B148E3-608A-46D2-B9E0-0920AFACBC1C.root,FINISHED,
382913,14986300,/ZeroBias/Run2024F-PromptReco-v1/DQMIO,16820640357,625094613,2024-07-12 15:57:52+00:00,2024-07-12 15:57:52+00:00,/store/data/Run2024F/ZeroBias/DQMIO/PromptReco-v1/000/382/913/00000/39ADABEB-6494-4170-9E60-071A8BF5A553.root,FINISHED,
382913,14986300,/ZeroBias/Run2024F-PromptReco-v1/DQMIO,16820640477,632438110,2024-07-12 15:57:52+00:00,2024-07-12 15:57:52+00:00,/store/data/Run2024F/ZeroBias/DQMIO/PromptReco-v1/000/382/913/00000/F9DEC306-32FA-408D-9CF2-A8492C71E74C.root,FINISHED,
382913,14986300,/ZeroBias/Run2024F-PromptReco-v1/DQMIO,16820640677,493021002,2024-07-12 15:57:52+00:00,2024-07-12 15:57:52+00:00,/store/data/Run2024F/ZeroBias/DQMIO/PromptReco-v1/000/382/913/00000/A1B90967-73C0-4484-85A3-011A4674DE3D.root,FINISHED,
382913,14986300,/ZeroBias/Run2024F-PromptReco-v1/DQMIO,16820640437,627579808,2024-07-12 15:57:52+00:00,2024-07-12 15:57:52+00:00,/store/data/Run2024F/ZeroBias/DQMIO/PromptReco-v1/000/382/913/00000/946BCC0B-CB67-44C9-91D9-ABB9EE3BA73F.root,FINISHED,
382913,14986300,/ZeroBias/Run2024F-PromptReco-v1/DQMIO,16820640597,455209616,2024-07-12 15:57:52+00:00,2024-07-12 15:57:52+00:00,/store/data/Run2024F/ZeroBias/DQMIO/PromptReco-v1/000/382/913/00000/63741819-285B-49ED-8823-3E4C5379C932.root,FINISHED,
382913,14986300,/ZeroBias/Run2024F-PromptReco-v1/DQMIO,16855209997,226805184,2024-07-13 13:17:20+00:00,2024-07-13 13:17:20+00:00,/store/data/Run2024F/ZeroBias/DQMIO/PromptReco-v1/000/382/913/00000/807A3747-0FEF-4E8B-97A1-D90D2608D913.root,FINISHED,
382913,14986300,/ZeroBias/Run2024F-PromptReco-v1/DQMIO,16820640797,421740643,2024-07-12 15:57:52+00:00,2024-07-12 15:57:52+00:00,/store/data/Run2024F/ZeroBias/DQMIO/PromptReco-v1/000/382/913/00000/9D1C0FC2-8B28-4F8C-AA32-FB5CA0CFEF15.root,FINISHED,
382913,14986300,/ZeroBias/Run2024F-PromptReco-v1/DQMIO,16820640877,356699702,2024-07-12 15:57:52+00:00,2024-07-12 15:57:52+00:00,/store/data/Run2024F/ZeroBias/DQMIO/PromptReco-v1/000/382/913/00000/0B9A56EB-9F0F-41C3-848E-ED5D0758E4AE.root,FINISHED,
382913,14986300,/ZeroBias/Run2024F-PromptReco-v1/DQMIO,16820640757,486624516,2024-07-12 15:57:52+00:00,2024-07-12 15:57:52+00:00,/store/data/Run2024F/ZeroBias/DQMIO/PromptReco-v1/000/382/913/00000/7249DCE1-4F25-480F-A301-38AA8AC53558.root,FINISHED,
382913,14986300,/ZeroBias/Run2024F-PromptReco-v1/DQMIO,16820640637,631025435,2024-07-12 15:57:52+00:00,2024-07-12 15:57:52+00:00,/store/data/Run2024F/ZeroBias/DQMIO/PromptReco-v1/000/382/913/00000/6D548455-7F2A-4339-B359-D6FF3BEB30B8.root,FINISHED,
